SYMB_COMPANY_NAME, SM_KEY_SYMBOL, SM_NEW_SYMBOL, SM_APPLICABLE_FROM
Bharati Defence and Infrastructure Limited,BHARTISHIP,BHARATIDIL,26-FEB-2016
Bharti Airtel Limited,BHARTI,BHARTIARTL,19-JUN-2006
Birla Cable Limited,BIRLAERIC,BIRLACABLE,26-SEP-2016
Birla Corporation Limited,BIRLAJUTE,BIRLACORPN,28-JUL-2008
Birla Power Solutions Limited,BIRLAYAMAH,BIRLAPOWER,06-JUN-2007
Bkm Industries Limited,MANAKINDST,BKMINDST,23-NOV-2017
Blue Coast Hotels Limited,MOREPENHTL,BLUECOAST,05-DEC-2006
Bosch Chassis Systems India Limited,KALYANBRAK,BOSCHCHASY,10-FEB-2006
Bosch Limited,MICO,BOSCHLTD,28-FEB-2008
Brabourne Enterprises Limited,RPGLS,BRABOURNE,14-MAR-2008
Brabourne Enterprises Limited,SEARLEIND,RPGLS,05-DEC-2006
Brightcom Group Limited,LYCOS,BCG,08-OCT-2018
CG Power and Industrial Solutions Limited,CROMPGREAV,CGPOWER,08-MAR-2017
CORE Education & Technologies Limited,COREPROTEC,COREEDUTEC,07-SEP-2011
Capital First Limited,FCH,CAPF,06-DEC-2012
Capri Global Capital Limited,MMFSL,CGCL,05-AUG-2013
Career Point Limited,CPIL,CAREERP,16-NOV-2011
Carol Info Services Limited,WOCKLIFE,CAROLINFO,27-SEP-2004
Castex Technologies Limited,AMTEKINDIA,CASTEXTECH,11-JUN-2015
Centurion Bank of Punjab Limited,CENBNK,CENTBOP,06-DEC-2005
Chennai Petroleum Corporation Limited,MADRASREFN,CHENNPETRO,09-AUG-2000
Chettinad Cement Corporation Limited,CHETNADCEM,CHETTINAD,17-MAY-2007
Cholamandalam Financial Holdings Limited,TIFIN,CHOLAHLDNG,09-APR-2019
Cholamandalam Investment and Finance Company Limited,CHOLADBS,CHOLAFIN,22-JUN-2010
Cholamandalam Investment and Finance Company Limited,CHOLAINV,CHOLADBS,01-JUN-2006
Cineline India Limited,CINEPRO,CINELINE,23-AUG-2013
Clariant Chemicals (India) Limited,COLORCHEM,CLNINDIA,05-JUN-2006
Coforge Limited,NIITTECH,COFORGE,20-AUG-2020
Coral Hub Limited,VITLINFO,CORALHUB,26-JUL-2010
Coromandel International Limited,COROMNFERT,COROMANDEL,12-OCT-2009
Country Condo's Limited,NEOCURE,COUNCODOS,31-AUG-2012
Crest Animation Studios Limited,CRESTCOMM,CRESTANI,04-JAN-2005
Crest Ventures Limited,SHARRESLTD,CREST,16-OCT-2014
Crest Ventures Limited,SHARYANRES,SHARRESLTD,27-DEC-2006
Cummins India Limited,KIRLOSKCUM,CUMMINSIND,17-JUN-2005
Cura Technologies Limited,SOFTPRO,CURATECH,23-NOV-2010
Cyient Limited,INFOTECENT,CYIENT,22-MAY-2014
DCB Bank Limited,DCB,DCBBANK,15-JAN-2014
DCM Shriram Limited,DCMSRMCONS,DCMSHRIRAM,13-MAR-2014
DEEP ENERGY RESOURCES LIMITED,DEEPIND,DEEPENR,30-SEP-2020
DIC India Limited,COATESIND,DICIND,06-SEP-2004
Dalmia Bharat Limited,DALMIABEL,DALMIABHA,09-JAN-2013
Dalmia Bharat Sugar and Industries Limited,DALMIACEM,DALMIASUG,30-SEP-2010
Dalmia Refractories Limited,SHRINATRAJ,DALMIAREF,22-MAY-2014
Datamatics Global Services Limited,DATATECH,DATAMATICS,20-APR-2009
De Nora India Limited,TITANOCOMP,DENORA,20-AUG-2007
Deccan Cements Limited,DECCANCEM,DECCANCE,02-AUG-2007
Delta Corp Limited,ARROWGROUP,DELTACORP,11-DEC-2008
Delta Manufacturing Limited,GPELECT,DELTAMAGNT,15-DEC-2008
Dewan Housing Finance Corporation Limited,DEWANHOUS,DHFL,22-MAY-2012
Dhani Loans and Services Limited,ICFL,DHANILOANS,17-SEP-2020
Dhani Services Limited,IBVENTPP,DHANIPP,28-OCT-2020
Dhani Services Limited,IBVENTURES,DHANI,28-OCT-2020
Dhani Services Limited,IBSEC,IBVENTURES,01-APR-2015
Dhunseri Ventures Limited,DPL,DVL,02-JAN-2019
Dhunseri Ventures Limited,DPTL,DPL,12-NOV-2014
Dhunseri Ventures Limited,DTIL,DPTL,26-JUL-2010
DiGiSPICE Technologies Limited,SPICEMOBI,DIGISPICE,28-AUG-2019
DiGiSPICE Technologies Limited,SMOBILITY,SPICEMOBI,19-AUG-2014
DiGiSPICE Technologies Limited,SPICEMOBIL,SMOBILITY,26-JUL-2011
Digjam Limited,BVXL,DIGJAM,28-APR-2008
Dr. Datson's Labs Limited,AANJANEYA,DRDATSONS,02-SEP-2013
Ducon Infratechnologies Limited,DYNATECH,DUCON,11-MAY-2016
E-Land Apparel Limited,MUDRA,ELAND,13-MAR-2015
EBIXCASH WORLD MONEY INDIA LIMITED,WEIZFOREX,EBIXFOREX,20-MAR-2020
EIH Associated Hotels Limited,OBERHOTEL,EIHAHOTELS,08-APR-2008
EPL Limited,ESSELPACK,EPL,19-OCT-2020
Edelweiss Fixed Maturity Plan - Series 14 - DP-GO,JD14G,ED14G,28-NOV-2016
Edelweiss Fixed Maturity Plan - Series 14 - Direct Plan - Dividend,JD14D,ED14D,28-NOV-2016
Edelweiss Fixed Maturity Plan - Series 14 - Regular Plan - Dividend,JP14D,E14D,28-NOV-2016
Edelweiss Fixed Maturity Plan - Series 14 - Regular Plan - Growth,JP14G,E14G,28-NOV-2016
Edelweiss Fixed Maturity Plan - Series 20 - Direct Plan - Dividend,JD20D,ED20D,28-NOV-2016
Edelweiss Fixed Maturity Plan - Series 20 - Direct Plan - Growth,JD20G,ED20G,28-NOV-2016
Edelweiss Fixed Maturity Plan - Series 20 - Regular Plan - Dividend,JP20D,E20D,28-NOV-2016
Edelweiss Fixed Maturity Plan - Series 20 - Regular Plan - Growth,JP20G,E20G,28-NOV-2016
Edelweiss Fixed Maturity Plan - Series 35 - Direct Plan - Growth,JD35G,ED35G,28-NOV-2016
Edelweiss Fixed Maturity Plan - Series 35 - Regular Plan - Dividend,JP35D,E35D,28-NOV-2016
Edelweiss Fixed Maturity Plan - Series 35 - Regular Plan - Growth,JP35G,E35G,28-NOV-2016
Edelweiss Fixed Maturity Plan - Series 37 - Direct Plan - Growth,JD37G,ED37G,28-NOV-2016
Edelweiss Fixed Maturity Plan - Series 37 - Regular Plan - Dividend,JP37D,E37D,28-NOV-2016
Edelweiss Fixed Maturity Plan - Series 37 - Regular Plan - Growth,JP37G,E37G,28-NOV-2016
Edelweiss Fixed Maturity Plan - Series 38 - Direct Plan - Growth,JD38G,ED38G,28-NOV-2016
Edelweiss Fixed Maturity Plan - Series 38 - Regular Plan - Dividend,JP38D,E38D,28-NOV-2016
Edelweiss Fixed Maturity Plan - Series 38 - Regular Plan - Growth,JP38G,E38G,28-NOV-2016
Edelweiss Fixed Maturity Plan - Series 40 - Direct Plan - Growth,JD40G,ED40G,28-NOV-2016
Edelweiss Fixed Maturity Plan - Series 40 - Regular Plan - Dividend,JP40D,E40D,28-NOV-2016
Edelweiss Fixed Maturity Plan - Series 40 - Regular Plan - Growth,JP40G,E40G,28-NOV-2016
Edelweiss Fixed Maturity Plan - Series 502 - Dividend Option,J502D,E502D,28-NOV-2016
Edelweiss Fixed Maturity Plan - Series 502 - Growth Option,J502G,E502G,28-NOV-2016
Edelweiss Income Fund - Series 501 - Dividend,J501D,E501D,28-NOV-2016
Edelweiss Income Fund - Series 501 - Growth,J501G,E501G,28-NOV-2016
Elecon Engineering Company Limited,ELECONENGG,ELECON,29-SEP-2006
Elgi Rubber Company Limited,ELGITYRE,ELGIRUBBER,22-DEC-2008
Emami Realty Limited,EMAMIINFRA,EMAMIREAL,15-NOV-2018
Entegra Limited,INDUJENERT,ENTEGRA,25-APR-2007
Eon Electric Limited,INDOASIFU,EONELECT,18-AUG-2011
Era Infra Engineering Limited,ERACONS,ERAINFRA,25-FEB-2008
Everest Industries Limited,ETERNEVRST,EVERESTIND,27-MAY-2005
Excel Realty N Infra Limited,EXCELINFO,EXCEL,05-MAY-2015
Exide Industries Limited,CHLORIDIND,EXIDEIND,12-SEP-2005
Expleo Solutions Limited,SQSBFSI,EXPLEOSOL,02-MAY-2019
Expleo Solutions Limited,THINKSOFT,SQSBFSI,30-SEP-2014
FORCE MOTORS LTD,BAJAJTEMPO,FORCEMOT,19-AUG-2019
Fame India Limited,SHRINGAR,FAME,25-FEB-2008
Fedders Electric and Engineering Limited,FEDDERLOYD,FEDDERELEC,13-JUN-2017
Federal-Mogul Goetze (India) Limited.,GOETZEIND,FMGOETZE,12-SEP-2006
Fidelity Mutual Fund - Fidelity Fixed Maturity Plan -SVI- Plan F - DP,FIFMPS6FD,LTFMPS6FD,14-JAN-2013
Flextronics Software Systems Limited,HUGHESSOFT,FSS,17-MAR-2005
Fresenius Kabi Oncology Limited,DABURPHARM,FKONCO,19-FEB-2009
Future Consumer Limited,FCEL,FCONSUMER,25-OCT-2016
Future Consumer Limited,FVIL,FCEL,17-OCT-2013
Future Enterprises Limited,FRL,FEL,13-MAY-2016
Future Enterprises Limited,FRLDVR,FELDVR,13-MAY-2016
Future Enterprises Limited,PRETAILDVR,FRLDVR,11-APR-2013
Future Enterprises Limited,PANTALOONR,FRL,11-APR-2013
Future Market Networks Limited,AGRE,FMNL,06-MAR-2012
GB Global Limited,MIL,GBGLOBAL,09-SEP-2019
GE Power India Limited,AIL,GEPIL,14-SEP-2016
GE Power India Limited,APIL,AIL,11-JUL-2012
GE Power India Limited,ABBALPO,APIL,19-MAY-2003
GE T&D India Limited,ALSTOMT&D,GET&D,14-SEP-2016
GE T&D India Limited,AREVAT&D,ALSTOMT&D,12-MAR-2012
GE T&D India Limited,AREVA,AREVAT&D,14-JUL-2008
GE T&D India Limited,GECALSTHOM,AREVA,30-JUN-2008
GFL Limited,GUJFLUORO,GFLLIMITED,25-JUL-2019
GMR Industries Limited,GMRVASAVI,GMRINDSTRS,28-APR-2006
GOCL Corporation Limited,GULFCORP,GOCLCORP,10-NOV-2015
GP Petroleums Limited,SAHPETRO,GULFPETRO,06-MAY-2015
GSL Nova Petrochemicals Limited,NOVA,GSLNOVA,18-DEC-2009
GSS Infotech Limited,GSSAMERICA,GSS,24-AUG-2011
GTL Limited,GLOBALTELE,GTL,14-JAN-2005
GTN Industries Limited,GTNTEXT,GTNIND,24-FEB-2006
Ganesh Housing Corporation Limited,GANHSGFIN,GANESHHOUC,02-MAR-2007
Garware Technical Fibres Limited,GARWALLROP,GARFIBRES,13-AUG-2018
GeeCee Ventures Limited,GWALCHEM,GEECEE,05-MAR-2010
Genus Power Infrastructures Limited,GENUSOVERE,GENUSPOWER,14-JAN-2008
Geodesic Limited,GEOINFO,GEODESIC,06-OCT-2008
Geojit Financial Services Limited,GEOJITBNPP,GEOJITFSL,02-MAR-2017
Geojit Financial Services Limited,GEOJIT,GEOJITBNPP,05-JUN-2009
Gillette India Limited,INDSHAVING,GILLETTE,04-APR-2006
GlaxoSmithKline Consumer Healthcare Limited,SMITKLBECH,GSKCONS,29-JUL-2003
Global Offshore Services Limited,GARWOFFS,GLOBOFFS,07-JUN-2011
Glodyne Technoserve Limited,PARADYNE,GLODYNE,19-NOV-2007
Golden Tobacco Limited,GTCIND,GOLDENTOBC,29-SEP-2008
Graphite India Limited,CARBEVFLOW,GRAPHITE,13-JAN-2003
Greaves Cotton Limited,GREAVES,GREAVESCOT,09-SEP-2004
Greenply Industries Limited,MITTALLAMI,GREENPLY,09-DEC-2004
Gujarat Apollo Industries Limited,GUJAPOLIND,GUJAPOLLO,06-JUL-2007
Gujarat Apollo Industries Limited,GUJAPOLEQP,GUJAPOLIND,04-JUN-2007
Gulf Oil Corporation Limited,IDLCHEM,GULFOILCOR,08-NOV-2007
HCL Infosystems Limited,HCL-HP,HCL-INSYS,12-APR-2000
HIL Limited,HYDRBADIND,HIL,26-OCT-2012
HLV LIMITED,HOTELEELA,HLVLTD,08-JAN-2020
HSBC InvestDirect (India) Limited,INVSTSMART,HINVDIR,07-SEP-2009
HSIL Limited,HINDSANIT,HSIL,27-APR-2009
HeidelbergCement India Limited,MYSORECEM,HEIDELBERG,15-MAY-2009
Hero MotoCorp Limited,HEROHONDA,HEROMOTOCO,08-AUG-2011
Himadri Speciality Chemical Limited,HCIL,HSCL,16-AUG-2016
Himadri Speciality Chemical Limited,HIMADCHEM,HCIL,02-MAR-2007
Hindalco Industries Limited,HINDALC0,HINDALCO,27-AUG-2007
Hinduja Foundries Limited,ENNOREFO,HINDUJAFO,24-MAR-2008
Hinduja Global Solutions Limited,HGSL,HGS,30-NOV-2011
Hinduja Global Solutions Limited,HTMTGLOBAL,HGSL,23-JAN-2009
Hinduja TMT Limited,HINDUJAFIN,HTMT,13-JAN-2003
Hindustan Construction Company Limited,HINDCONS,HCC,10-JUL-2006
Hindustan Unilever Limited,HINDLEVER,HINDUNILVR,19-JUL-2007
Hitech Corporation Limited,HITECHPLAS,HITECHCORP,23-MAY-2017
Honda India Power Products Limited,SHRMHONDA,HONDAPOWER,04-APR-2006
Honeywell Automation India Limited,TATAHONEY,HONAUT,24-MAR-2005
Hubtown Limited,ACKRUTI,HUBTOWN,15-NOV-2011
Hubtown Limited,AKRUTI,ACKRUTI,30-JUN-2009
Huhtamaki India Limited,PAPERPROD,HUHTAMAKI,26-NOV-2020
ICICI Prudential Bank ETF Nifty Bank Index,IPRU5008,ICICIBANKN,19-JUL-2019
ICICI Prudential Gold ETF,GOLDIWIN,ICICIGOLD,10-APR-2018
ICICI Prudential Gold ETF,IGOLD,GOLDIWIN,25-JUL-2016
ICICI Prudential Gold ETF,IPGETF,IGOLD,05-MAY-2014
ICICI Prudential MF - ICICI Prudential IF S1 - DQDP,IPRU8112,IPRU8122,16-DEC-2013
ICICI Prudential Midcap Select ETF,MIDCAPIWIN,ICICIMCAP,10-APR-2018
ICICI Prudential Midcap Select ETF,IMIDCAP,MIDCAPIWIN,25-JUL-2016
ICICI Prudential Mutual Fund - BHARAT 22 ETF,BHARATIWIN,ICICIB22,19-APR-2018
ICICI Prudential NV20 ETF,NV20IWIN,ICICINV20,10-APR-2018
ICICI Prudential NV20 ETF,INV20,NV20IWIN,25-JUL-2016
ICICI Prudential Nifty 100 ETF,NIF100IWIN,ICICINF100,10-APR-2018
ICICI Prudential Nifty 100 ETF,ICNX100,NIF100IWIN,25-JUL-2016
ICICI Prudential Nifty 100 ETF,ICCNX100,ICNX100,05-MAY-2014
ICICI Prudential Nifty ETF,NIFTYIWIN,ICICINIFTY,10-APR-2018
ICICI Prudential Nifty ETF,INIFTY,NIFTYIWIN,25-JUL-2016
ICICI Prudential Nifty ETF,NIFETF,INIFTY,05-MAY-2014
ICICI Prudential Nifty Low Vol 30 ETF,LOWVOLIWIN,ICICILOVOL,10-APR-2018
ICICI Prudential Sensex ETF,SENSEXIWIN,ICICISENSX,10-APR-2018
ICICI Prudential Sensex ETF,ISENSEX,SENSEXIWIN,25-JUL-2016
ICICI Prudential Sensex ETF,SPICE,ISENSEX,18-AUG-2014
IDFC First Bank Limited,IDFCBANK,IDFCFIRSTB,16-JAN-2019
IG Petrochemicals Limited,IGPETRO,IGPL,29-JAN-2007
IIFL Finance Limited,INDIAINFO,IIFL,13-MAR-2014
IL&FS Engineering and Construction Company Limited,MAYTASINFR,IL&FSENGG,08-FEB-2011
IL&FS Transportation Networks Limited,ILFSTRANS,IL&FSTRANS,16-APR-2010
INCREDIBLE INDUSTRIES LIMITED,ADHUNIKIND,INCREDIBLE,20-MAY-2021
INEOS Styrolution India Limited,STYABS,INEOSSTYRO,04-APR-2016
INEOS Styrolution India Limited,INEABS,STYABS,20-JUN-2012
INEOS Styrolution India Limited,LANABS,INEABS,21-JUL-2008
INEOS Styrolution India Limited,ABSIND,LANABS,14-JUN-2005
ING Vysya Bank Limited,VYSYABANK,INGVYSYABK,16-AUG-2005
IOL Netcom Limited,IOLB,IOLN,18-FEB-2008
ITD Cementation India Limited,TRAFALHSE,ITDCEM,16-AUG-2005
IVRCL Assets & Holdings Limited,IVRPRIME,IVRCLAH,13-APR-2010
IZMO Limited,LOGIXMICRO,IZMO,15-MAY-2015
Igarashi Motors India Limited,CGIGARSH,IGARASHI,21-APR-2005
Imagicaaworld Entertainment Limited,ADLABS,IMAGICAA,22-APR-2020
Indbank Merchant Banking Services Limited,INDBANKMER,INDBANK,08-OCT-2008
India Infoline Finance Limited,IIISL,IIFLFIN,27-AUG-2012
Indo Count Industries Limited,INDOCOUNT,ICIL,12-SEP-2005
Indus Towers Limited,INFRATEL,INDUSTOWER,18-DEC-2020
Infomedia India Limited,TATAPRESS,TATAINFO,17-SEP-2003
Infosys Limited,INFOSYSTCH,INFY,29-JUN-2011
Insecticides (India) Limited,IILTD,INSECTICID,11-MAY-2009
Inspirisys Solutions Limited,AFL,INSPIRISYS,12-OCT-2018
Invesco India Gold Exchange Traded Fund,RELIGAREGO,IVZINGOLD,23-JUN-2016
Invesco India Nifty Exchange Traded Fund,RELGRNIFTY,IVZINNIFTY,23-JUN-2016
Invesco MF – Invesco India AIF - Sr 1 - Pl B - DS-P-GO,RIMFAI1BDG,IVZINA1BDG,23-JUN-2016
Invesco MF – Invesco India AIF - Sr 1 - Pl B - RS-P-GO,RIMFAI1BRG,IVZINA1BRG,23-JUN-2016
JBM Auto Limited,JBMAUTOCOM,JBMA,04-JAN-2006
JD Orgochem Limited,JAYSYNTDYE,JDORGO,13-SEP-2004
JSW Holdings Limited,JINDALSWHL,JSWHL,30-JUL-2013
JSW ISPAT Steel Limited,ISPATIND,JSWISPAT,16-AUG-2011
JSW Ispat Special Products Limited,AIONJSW,JSWISPL,12-OCT-2020
JSW Steel Limited,JSWSTL,JSWSTEEL,16-SEP-2005
Jai Balaji Industries Limited,BALASPONGE,JAIBALAJI,10-AUG-2007
Jaiprakash Power Ventures Limited,JPHYDRO,JPPOWER,08-JAN-2010
Jayaswal Neco Industries Limited,NAGPURENG,JAYNECOIND,22-FEB-2008
Jindal Saw Limited,SAWPIPES,JINDALSAW,18-FEB-2005
Jindal Stainless Limited,JSTAINLESS,JSL,23-OCT-2008
Johnson Controls - Hitachi Air Conditioning India Limited,HITACHIHOM,JCHAC,12-SEP-2016
Johnson Controls - Hitachi Air Conditioning India Limited,AMTREXAPPL,HITACHIHOM,04-APR-2006
Jtekt India Limited,SONASTEER,JTEKTINDIA,23-APR-2018
Jubilant Pharmova Limited,JUBILANT,JUBLPHARMA,12-FEB-2021
Jubilant Pharmova Limited,VAMORGANIC,JUBILANT,30-SEP-2003
KSS Limited,KSERAPRO,KSERASERA,07-MAR-2011
Kalyani Steels Limited,KALYANISTL,KALSTEELS,21-OCT-2008
Kamdhenu Limited,KIL,KAMDHENU,18-MAR-2016
Kansai Nerolac Paints Limited,GOODLASNER,KANSAINER,26-JUL-2006
Karuturi Global Limited,KNL,KGL,20-NOV-2008
Kennametal India Limited,WIDIA,KENNAMET,19-AUG-2019
Kesar Enterprises Limited,KESARENTER,KESARENT,02-JAN-2007
Keynote Financial Services Limited,KEYCORPSER,KEYFINSERV,03-MAY-2019
Kinetic Motor Company Limited,KINHONDA,KINETICMOT,20-SEP-2004
Kingfisher Airlines Limited,AIRDECCAN,KFA,06-OCT-2008
Kiri Industries Limited,KIRIDYES,KIRIINDUS,28-MAR-2011
Kirloskar Electric Company Limited,KIRELECTRI,KECL,09-MAR-2010
Kohinoor Foods Limited,SATNAMOVER,KOHINOOR,18-AUG-2006
Kokuyo Camlin Limited,CAMLIN,KOKUYOCMLN,14-FEB-2012
Kotak Mahindra Bank Limited,KOTAKMAH,KOTAKBANK,21-APR-2003
Kotak Mahindra MF - Kotak NV 20 ETF - DPO,KTKNV20ETF,KOTAKNV20,21-DEC-2015
Ksb Limited,KSBPUMPS,KSB,23-OCT-2018
L&T Fixed Maturity Plan Series - VI Plan F,FIFMPS6FG,LTFMPS6FG,14-JAN-2013
L&T Fixed Maturity Plane Series - VI Plan E,FIFMPS6EG,LTFMPS6EG,14-JAN-2013
L&T Fixed Maturiy Plan Series - VI Plan F,FIFMPS6ED,LTFMPS6ED,14-JAN-2013
LEEL Electricals Limited,LLOYDELENG,LEEL,19-JUN-2017
LIC MF - LIC MF EXCHANGE TRADED FUND - NIFTY 50,LICNFENGP,LICNETFN50,30-DEC-2015
LIC MF - LIC MF G-sec LT ETF - GO,LICNMFET,LICNETFGSC,30-DEC-2015
LIC Mutual Fund - LIC MF EXCHANGE TRADED FUND - SENSEX,LICNFESGP,LICNETFSEN,30-DEC-2015
Linde India Limited,BOC,LINDEINDIA,10-APR-2013
Linde India Limited,IOL,BOC,10-MAR-2005
Lotte India Corporation Limited,PARRYSCON,LOTTEINDIA,17-DEC-2004
MM Forgings Limited,MMFORGINGS,MMFL,20-DEC-2006
MPS Limited,MACMILLAN,MPSLTD,11-SEP-2009
Maan Aluminium Limited,MANALU,MAANALU,16-MAR-2011
Madura Coats Limited,COATVIYELA,MADURACOAT,29-NOV-2002
Mahindra CIE Automotive Limited,MAHINDFORG,MAHINDCIE,17-DEC-2013
Mahindra Lifespace Developers Limited,GESCOCORP,MAHLIFE,23-NOV-2007
Man Industries (India) Limited,MANALUMN,MANINDS,24-JUN-2005
Marico Limited,MARICOIND,MARICO,14-JUN-2005
Marksans Pharma Limited,TASCPHARMA,MARKSANS,14-NOV-2005
Max Financial Services Limited,MAX,MFSL,26-FEB-2016
Mercator Limited,MLL,MERCATOR,08-DEC-2011
